file_name,classes
M0Y21G00W-M11_17.jpg,Hip length
IL121H00F-K11_16.jpg,Below hip length
ON321G0OG-I11_2.jpg,Above hip length
KT041F010-K11_2.jpg,Above hip length
LE421G028-K11_10.jpg,Above hip length
IC621U01B-N11_10.jpg,Hip length
A0Q21L005-Q11_1.jpg,Above hip length
JL022T00J-I11_7.jpg,Hip length
PX421G02P-Q11_8.jpg,Below hip length
ON321G0Z9-O11_15.jpg,Above hip length
JY121G040-I11_2.jpg,Hip length
CO421O004-J11_12.jpg,Hip length
7E021U01O-G11_10.jpg,Above hip length
UR621G00X-K11_4.jpg,Hip length
ON321G0AK-Q11_16.jpg,Above hip length
K4821G012-K11_2.jpg,Hip length
MAM22T001-G11_8.jpg,Hip length
ON321G0ZA-Q11_15.jpg,Hip length
WD221G023-C11_2.jpg,Hip length
NI121G04R-A11_8.jpg,Hip length
JY121G03P-I11_9.jpg,Above hip length
GI121G007-N11_2.jpg,Hip length
NL021G08K-Q11_7.jpg,Hip length
RI521G02J-J11_7.jpg,Below hip length
FF221U03H-K11_10.jpg,Below hip length
BL522T02T-Q11_9.jpg,Hip length
S8521U04U-C11_2.jpg,Hip length
M5921G03E-A11_14.jpg,Above hip length
M5S21U00N-K11_11.jpg,Below hip length
WD221U09L-K11_14.jpg,Below hip length
SO221U06Y-K11_11.jpg,Below hip length
P1421G02R-K11_7.jpg,Above hip length
JC421U00B-K12_4.jpg,Below hip length
WL521G049-Q11_9.jpg,Above hip length
VW621G00A-T11_11.jpg,Hip length
M0Q21G06H-Q11_2.jpg,Above hip length
JA222T0JU-B11_2.jpg,Hip length
BX021G01J-K11_15.jpg,Above hip length
J3222T001-C11_13.jpg,Hip length
M7341F00Y-C11_2.jpg,Hip length
L1O22T004-A11_7.jpg,Hip length
WD221U0CA-J11_13.jpg,Below hip length
BA222G005-604_1.jpg,Hip length
NM321G04S-K11_1.jpg,Hip length
WD222T03W-K11_2.jpg,Hip length
BF521U014-A11_10.jpg,Below hip length
WL521G04G-K11_2.jpg,Below hip length
M4822T005-Q11_2.jpg,Hip length
IC221G02V-Q11_2.jpg,Hip length
WD221U05S-J11_10.jpg,Hip length
FF221G01G-B11_2.jpg,Above hip length
BB121U01C-Q11_18.jpg,Hip length
MA321G06W-K11_2.jpg,Above hip length
M4822T005-C11_2.jpg,Hip length
QS121G04S-E11_14.jpg,Above hip length
ONE21D007-Q11_6.jpg,Above hip length
4DR22T01Y-K11_10.jpg,Hip length
M5921G03S-Q11_16.jpg,Below hip length
TAQ21U005-O11_10.jpg,Hip length
SQ621U01H-A11_6.jpg,Above hip length
NL021G08Q-K11_5.jpg,Above hip length
DP521G094-N11_2.jpg,Hip length
PUC21G055-B11_15.jpg,Above hip length
4DR21U05P-M11_2.jpg,Hip length
21B21U011-B11_10.jpg,Above hip length
TH322T007-K12_10.jpg,Hip length
4DR21G062-K11_2.jpg,Hip length
LY222T01G-Q11_9.jpg,Hip length
WF521G010-T11_2.jpg,Hip length
ONA21U00Z-C11_2.jpg,Below hip length
DR221U01B-M11_11.jpg,Above hip length
WD221U08N-E11_10.jpg,Below hip length
WD221U0D1-J11_2.jpg,Below hip length
AM421J00A-G11_12.jpg,Below hip length
WD221U0BQ-K11_2.jpg,Below hip length
WD221U0CB-E11_12.jpg,Below hip length
WD221U0D3-K11_2.jpg,Below hip length
S0521U006-Q11_8.jpg,Below hip length
GE121G01R-K11_main_image.jpg,Below hip length
MB121G01P-Q11_10.jpg,Below hip length
WD221U0CW-E11_2.jpg,Below hip length
1MY21G044-M11_10.jpg,Below hip length
Y0021G00Z-T11_8.jpg,Below hip length
DI541F024-B11_15.jpg,Below hip length
VE121U0B9-F11_7.jpg,Below hip length
WD221U0CZ-J11_2.jpg,Below hip length
WD221U091-J11_18.jpg,Below hip length
WD221U0CD-E11_13.jpg,Below hip length
WD221G01A-K11_10.jpg,Below hip length
EW221G04B-C11_2.jpg,Below hip length
IC141F0B9-N11_9.jpg,Below hip length
RI021G003-C12_6.jpg,Below hip length
Y0021C0BA-Q11_11.jpg,Below hip length
WD221U0D2-E11_2.jpg,Below hip length
GU121G09I-Q11_11.jpg,Above hip length
MIG21G011-M11_4.jpg,Hip length
PUC21G01M-Q11_18.jpg,Below hip length
PA941F02O-K11_10.jpg,Hip length
IC621U01F-J11_10.jpg,Hip length
H4421G0AG-B11_2.jpg,Hip length
WD221G029-J11_15.jpg,Hip length
PX421G02V-K11_8.jpg,Hip length
TO221U03W-J11_13.jpg,Hip length
QS121U02P-M11_11.jpg,Above hip length
1CI21G001-K11_2.jpg,Above hip length
S8521U05C-K11_2.jpg,Above hip length
H4421G0AV-K11_15.jpg,Below hip length
ON321G10Y-G11_16.jpg,Above hip length
GW121I03V-K11_6.jpg,Above hip length
PUC21U06Q-Q11_16.jpg,Below hip length
AM422T005-G11_8.jpg,Hip length
NM321G05Q-Q11_1.jpg,Above hip length
UR621U002-J11_3.jpg,Above hip length
4DR21G06O-K11_2.jpg,Hip length
1US21G011-A11_2.jpg,Below hip length
RI921G05E-Q11_11.jpg,Above hip length
TD022T019-Q11_10.jpg,Above hip length
DI541F01R-E11_2.jpg,Below hip length
GP022T013-O11_9.jpg,Above hip length
88041F012-M11_8.jpg,Hip length
HOS21G004-K11_9.jpg,Above hip length
VE121G0PZ-Q11_14.jpg,
WF521G015-K12_14.jpg,Below hip length
DE121G049-J11_2.jpg,Hip length
M5921U01O-H11_2.jpg,Hip length
P6921G026-A11_5.jpg,Below hip length
NI121G04O-A11_15.jpg,Hip length
ON321G0OR-K12_6.jpg,Above hip length
IB021U009-N11_6.jpg,Hip length
RI921G05Y-K11_17.jpg,Above hip length
VE121G0UO-Q11_2.jpg,Below hip length
NX321G052-C11_8.jpg,Hip length
VE121G0VJ-B11_2.jpg,Below hip length
WD221G019-E11_10.jpg,Below hip length
EDD21G00U-E11_11.jpg,Hip length
KH122T0AW-Q11_18.jpg,Hip length
BLF42F00F-Q11_2.jpg,Hip length
1MY21U06I-J11_2.jpg,Above hip length
FOD21G017-Q11_17.jpg,Above hip length
1MY21U05R-J11_10.jpg,Hip length
P2121U00Q-O11_14.jpg,Above hip length
HO021G00C-E11_10.jpg,Hip length
ON321G13Q-K11_2.jpg,Hip length
S3821U00M-Q11_8.jpg,Below hip length
7E021U018-O11_10.jpg,Above hip length
F2241F04R-K11_4.jpg,Below hip length
ETE21G001-K11_10.jpg,Above hip length
KH121G0CO-H11_18.jpg,Hip length
TAQ21G00B-K11_10.jpg,Hip length
1MY21G04D-J11_12.jpg,Hip length
LE221G03S-K12_10.jpg,Hip length
B1741F01P-L11_6.jpg,Hip length
ES121I0TW-K11_4.jpg,Hip length
DP721G017-A11_11.jpg,Hip length
BL522T02K-M11_2.jpg,Hip length
UR622H015-K11_3.jpg,Hip length
VE121G0T7-C11_10.jpg,Below hip length
M1421G00G-K11_13.jpg,Below hip length
